"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U8,U7,U6,U4,U2";"178.6164.XXX1";5;"178.6164.0001";;;
2;"S1";"SK12F14G5";1;"SK12F14G5";;;
3;"J18,J17,J16,J15,J9";"RHDR2W120P0X950_1X2_2050X1430X1790P";5;"YK4420203000G";;;
4;"D1";"SODFL1608X70N";1;"1N4148WT";;;
5;"J14,J13,J11";"JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal";3;"Conn_01x04";;;
6;"Q3,Q2";"TSOT-23-6";2;"RQ6E080AJ";;;
7;"R24,R22,R18,R20";"R_0805_2012Metric";4;"4k7";;;
8;"R1";"R_0805_2012Metric";1;"100k";;;
9;"C23,C4,C19,C8";"C_0805_2012Metric";4;"1u";;;
10;"C20,C6,C21,C22,C17,C14,C18,C5,C13";"C_0805_2012Metric";9;"100n";;;
11;"J3,J1,J12";"TerminalBlock_Altech_AK300-2_P5.00mm";3;"Conn_01x02";;;
12;"U5";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm";1;"TVS3300DRV";;;
13;"R3,R2,R5,R12,R6";"R_0805_2012Metric";5;"10k";;;
14;"J5,J4,J6,J8";"AMASS_XT60PW-F_1x02_P7.20mm_Horizontal";4;"Conn_01x02";;;
15;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm";1;"ESP32-S3";;;
16;"R4,R7,R8";"R_0805_2012Metric";3;"1k";;;
17;"D3,D2";"LED_0805_2012Metric";2;"LED";;;
18;"Q4";"MJD45H11T4G";1;"NTD25P03LT4G";;;
19;"R21,R19,R23,R17";"R_0805_2012Metric";4;"1k69";;;
20;"R10,R9";"R_0805_2012Metric";2;"5k";;;
21;"C12,C11,C16,C15";"C_0805_2012Metric";4;"1n";;;
22;"J10";"TerminalBlock_Altech_AK300-4_P5.00mm";1;"Conn_01x04";;;
23;"C10,C7,C9";"C_0805_2012Metric";3;"10u";;;
24;"IC8,IC9,IC10,IC7";"SOIC127P600X175-8N";4;"ACS712ELCTR-20A-T";;;
25;"SW2,SW3";"SW_Push_1P1T_NO_CK_KSC6xxJ";2;"SW_Push";;;
26;"C3";"C_0805_2012Metric";1;"10n";;;
27;"IC2,IC1";"SOP50P490X110-10N";2;"ADS1115BQDGSRQ1";;;
28;"D6";"D_SMA";1;"MBRA340T3G";;;
29;"U3";"SOT-23-6";1;"USBLC6-2SC6";;;
30;"IC3";"SON50P300X200X60-9N";1;"W25Q16JVUXIQ_TR";;;
31;"R11";"R_0805_2012Metric";1;"22";;;
32;"C2,C1";"C_0805_2012Metric";2;"10p";;;
33;"U9";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
34;"J7";"TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
35;"D4";"DIOM8059X265N";1;"SM15T22A";;;
36;"Y1";"Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
37;"J2";"AMASS_XT90PW-M_1x02_P10.90mm_Horizontal";1;"Conn_01x02";;;
38;"L1";"L_0805_2012Metric";1;"2n2";;;
39;"D7";"D_MiniMELF";1;"BZV55B10";;;
