"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J18";"RHDR2W120P0X950_1X2_2050X1430X1790P";1;"YK4420203000G";;;
2;"J8,J6,J4,J5";"SAMTEC_PCIE-164-02-F-D-TH-TR";4;"PCIE-164-02-F-D-TH-TR";;;
3;"R9,R5,R3,R10,R2";"R_0805_2012Metric";5;"10k";;;
4;"BOOT1";"PTS645SK43SMTR92LFS";1;"PTS645SK43SMTR92LFS";;;
5;"R19,R18,R20,R21,R24";"R_0805_2012Metric";5;"5.1k";;;
6;"Q7,Q4,Q2";"Vishay_PowerPAK_1212-8_Single";3;"SiSS27DN";;;
7;"J7,J10";"TYPE-C-31-M-12";2;"TYPE-C-31-M-12";;;
8;"C11,C9,C14";"C_0805_2012Metric";3;"10u";;;
9;"Q5,Q6,Q1";"SOT-23";3;"IRLML0030";;;
10;"U4";"178.6164.XXX1";1;"178.6164.0001";;;
11;"U5";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm";1;"TVS3300DRV";;;
12;"R8,R7";"R_0805_2012Metric";2;"1k";;;
13;"C16";"C_0805_2012Metric";1;"1u";;;
14;"J11,J13";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";2;"Conn_01x04";;;
15;"R23,R22";"R_0805_2012Metric";2;"5k1";;;
16;"U1";"ESP32-S3-WROOM-2";1;"ESP32-S3-WROOM-2";;;
17;"J2";"AMASS_XT90PW-M_1x02_P10.90mm_Horizontal";1;"Conn_01x02";;;
18;"D1";"SODFL1608X70N";1;"1N4148WT";;;
19;"U6";"SOT-23-6";1;"USBLC6-4SC6";;;
20;"D4";"DIOM8059X265N";1;"SM15T22CA";;;
21;"J3,J12";"TerminalBlock_Altech_AK300-2_P5.00mm";2;"Conn_01x02";;;
22;"C15";"C_0805_2012Metric";1;"0.1u";;;
23;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
24;"J1";"JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical";1;"Conn_01x05";;;
25;"IC3,IC2";"SOP50P490X110-10N";2;"ADS1115BQDGSRQ1";;;
26;"R1";"R_0805_2012Metric";1;"100k";;;
27;"D3,D2";"LED_0805_2012Metric";2;"LED";;;
28;"R4";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";1;"65";;;
29;"C17";"C_0805_2012Metric";1;"100n";;;
30;"D6";"D_SMA";1;"MBRA340T3G";;;
31;"S1";"SK12F14G5";1;"SK12F14G5";;;
32;"U9";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
